tabla,pk_columna,pk_valor,columna,valor_actual,valor_propuesto
erp_almacenes,id_almacen,2,almacen,"San Jos├â┬® 1727","San José 1727"
erp_almacenes,id_almacen,2,calle,"san Jos├â┬®","san José"
erp_catalogo_productos,id_producto_erp,7,nombre,"Jaula h├â┬ímster residencial rosa","Jaula hámster residencial rosa"
erp_catalogo_productos,id_producto_erp,8,nombre,"Jaula h├â┬ímster 2 pisos azul 27.7 x 20.5 x 25 cm","Jaula hámster 2 pisos azul 27.7 x 20.5 x 25 cm"
erp_catalogo_productos,id_producto_erp,9,nombre,"Jaula h├â┬ímster 3 pisos caf├â┬® 31 x 24 x  43 cm","Jaula hámster 3 pisos café 31 x 24 x  43 cm"
erp_catalogo_productos,id_producto_erp,10,nombre,"Jaula h├â┬ímster rosa 36 x 27 x 25 cm","Jaula hámster rosa 36 x 27 x 25 cm"
erp_catalogo_productos,id_producto_erp,11,nombre,"Jaula h├â┬ímster amplia amarilla","Jaula hámster amplia amarilla"
erp_catalogo_productos,id_producto_erp,12,nombre,"Jaula h├â┬ímster lux cafe","Jaula hámster lux cafe"
erp_catalogo_productos,id_producto_erp,13,nombre,"Jaula h├â┬ímster toky caf├â┬®","Jaula hámster toky café"
erp_catalogo_productos,id_producto_erp,14,nombre,"Jaula h├â┬ímster naranja 27x 21 x 33cm","Jaula hámster naranja 27x 21 x 33cm"
erp_catalogo_productos,id_producto_erp,15,nombre,"Jaula h├â┬ímster 31 x 24 x 30 cm","Jaula hámster 31 x 24 x 30 cm"
erp_catalogo_productos,id_producto_erp,16,nombre,"jaula h├â┬ímster invisible cafe","jaula hámster invisible cafe"
erp_catalogo_productos,id_producto_erp,17,nombre,"Jaula h├â┬ímster ripar rosa","Jaula hámster ripar rosa"
erp_catalogo_productos,id_producto_erp,18,nombre,"Jaula h├â┬ímster infinity verde","Jaula hámster infinity verde"
erp_catalogo_productos,id_producto_erp,19,nombre,"Cama antiestr├â┬®s mini para mascotas","Cama antiestrés mini para mascotas"
erp_catalogo_productos,id_producto_erp,21,nombre,"Cama antiestr├â┬®s chica para mascotas","Cama antiestrés chica para mascotas"
erp_catalogo_productos,id_producto_erp,22,nombre,"Cama antiestr├â┬®s chica para mascotas","Cama antiestrés chica para mascotas"
erp_catalogo_productos,id_producto_erp,25,nombre,"Cama antiestr├â┬®s mediana para perros y gatos","Cama antiestrés mediana para perros y gatos"
erp_catalogo_productos,id_producto_erp,30,nombre,"Cama antiestr├â┬®s extra grande para mascotas","Cama antiestrés extra grande para mascotas"
erp_catalogo_productos,id_producto_erp,37,nombre,"jaula h├â┬ímster crifin verde","jaula hámster crifin verde"
erp_catalogo_productos,id_producto_erp,41,nombre,"Esquinero ba├â┬▒o tringular","Esquinero baño tringular"
erp_catalogo_productos,id_producto_erp,53,nombre,"Alimento de camar├â┬│n chico","Alimento de camarón chico"
erp_catalogo_productos,id_producto_erp,59,nombre,"Alimento hojuelas b├â┬ísicas grande para peces","Alimento hojuelas básicas grande para peces"
erp_catalogo_productos,id_producto_erp,73,nombre,"limpiador magn├â┬®tico mediano para pecera","limpiador magnético mediano para pecera"
erp_catalogo_productos,id_producto_erp,93,nombre,"Alimento para h├â┬ímster premimun","Alimento para hámster premimun"
erp_catalogo_productos,id_producto_erp,96,nombre,"Alimento para h├â┬ímster semillas mix","Alimento para hámster semillas mix"
erp_catalogo_productos,id_producto_erp,99,nombre,"Bebedero para h├â┬ímster 800 ml","Bebedero para hámster 800 ml"
erp_catalogo_productos,id_producto_erp,101,nombre,"Alimento para h├â┬ímster croquetas","Alimento para hámster croquetas"
erp_catalogo_productos,id_producto_erp,117,nombre,"Mezcla de semillas loros y cacat├â┬║as alimento para pajaros","Mezcla de semillas loros y cacatúas alimento para pajaros"
erp_catalogo_productos,id_producto_erp,122,nombre,"Pala de pl├â┬ístico para sustrato","Pala de plástico para sustrato"
erp_catalogo_productos,id_producto_erp,127,nombre,"Base panor├â┬ímica  4 patas 50cm","Base panorámica  4 patas 50cm"
erp_catalogo_productos,id_producto_erp,132,nombre,"Rueda para h├â┬ímster de metal","Rueda para hámster de metal"
erp_catalogo_productos,id_producto_erp,135,nombre,"Bebedero para colibr├â┬¡ min","Bebedero para colibrí min"
erp_catalogo_productos,id_producto_erp,161,nombre,"Foco de d├â┬¡a para reptil 150w","Foco de día para reptil 150w"
erp_catalogo_productos,id_producto_erp,166,nombre,"Placa t├â┬®rmica para reptil 26 x 18 cm","Placa térmica para reptil 26 x 18 cm"
erp_catalogo_productos,id_producto_erp,167,nombre,"Placa t├â┬®rmica para reptil 26 x 8 cm","Placa térmica para reptil 26 x 8 cm"
erp_catalogo_productos,id_producto_erp,169,nombre,"Placa t├â┬®rmica para reptil 8 x 14 cm","Placa térmica para reptil 8 x 14 cm"
erp_catalogo_productos,id_producto_erp,171,nombre,"pa├â┬▒ales para perro chicos","pañales para perro chicos"
erp_catalogo_productos,id_producto_erp,176,nombre,"Rascadero colgante le├â┬│n","Rascadero colgante león"
erp_catalogo_productos,id_producto_erp,182,nombre,"P├â┬│ster ramar 50cm por rollo","Póster ramar 50cm por rollo"
