9,General,,,,,,
CODIGO,NOMBRE DEL PRODUCTO,PRECIO,EX.,MARCA,MP,P.SUG.,ROT
100106011,CLARIFICADOR DE AGUA 59ML.(OF),$50.75,26,AQUEON,48,$101.45,AAA
100106012,CLARIFICADOR DE AGUA 118ML.,$82.35,75,AQUEON,36,$164.09,AAA
100106241,REMOVEDOR DE SARRO 236ML.(OF),$86.24,88,AQUEON,12,$172.02,AAA
08530,PURPLE UP 227 ML.,$295.96,21,CARIBSEA,12,$591.59,AAA
00530,PURPLE UP 454 ML.,$508.95,10,CARIBSEA,6,"$1,017.58",AAA
100100010,HIERRO Y MAGN. 226 ML.(OF),$137.59,17,KENT MARIN,12,$274.98,AAA
100100007,IODINE 236 ML.(OF) YODO,$152.77,3,KENT MARIN,24,$305.44,AAA
100100013,STRONTIUM M.DENUM236ML(OF),$168.85,7,KENT MARIN,24,$337.19,AAA
100100800,PURPLE TECH 227ML.(OF),$172.70,1,KENT MARIN,12,$345.34,AAA
100100024,ELEMENTOS TRAZA 237 ML.(OF),$185.86,7,KENT MARIN,12,$371.72,AAA
100100016,LIQUID CALCIUM 236 ML.(OF),$185.86,13,KENT MARIN,24,$371.72,AAA
100100657,GARLIC EXTREME 30 ML.(OF),$315.29,3,KENT MARIN,12,$630.41,AAA
100100801,PURPLE TECH 454 ML.(OF),$316.25,7,KENT MARIN,12,$632.34,AAA
100100610,LUGOL LIQUIDO (IODO) 30ML.(OF),$335.40,12,KENT MARIN,12,$670.74,AAA
100100897,PHYTOMAX 30ML.,$393.12,21,KENT MARIN,12,$785.71,AAA
84120,AGUA DE MAR C/BACT. 2.2 G.,$246.59,41,NATURES OC,2,$493.13,AAA
84130,AGUA DE MAR C/BACT. 4.4 G.,$487.93,13,NATURES OC,1,$975.76,AAA
IRC2,IRON CONC. 250ML. HIERRO(OF),$117.12,6,TWO LITTLE,12,$233.80,AA
SC4,STRONTIUM CONC.250ML.(OF),$141.06,14,TWO LITTLE,12,$281.63,AAA
IC4,IODINE CONC. 250ML.(OF),$169.94,15,TWO LITTLE,12,$339.76,AAA
MC2,MAGNESIUM CONC. 500ML.(OF),$207.81,19,TWO LITTLE,12,$415.48,AAA
PH4,PHYTOPLANKTON DIET 30GR.(OF),$252.65,12,TWO LITTLE,36,$504.93,AAA
CA2,CALCIUM CONC. 500ML.(OF),$263.82,21,TWO LITTLE,12,$527.45,AAA
MS2,MARINE SNOW PLANKTON 250ML.(OF),$274.94,16,TWO LITTLE,12,$549.76,AAA
RC4,REVIVE CORAL CLEANER 500ML.(OF),$275.94,17,TWO LITTLE,24,$551.69,AAA
ZP4,ZOOPLANKTON DIET 30GR.(OF),$293.85,34,TWO LITTLE,36,$587.51,AAA
K2B,KALKWASSER 500GR.(OF),$359.88,9,TWO LITTLE,12,$719.43,AAA
MS4,MARINE SNOW PLANKTON 500ML.(OF),$403.83,22,TWO LITTLE,24,$807.59,AAA
CB2C,C-BALANCE A+B 946ML C/U(OF),$609.74,3,TWO LITTLE,12,"$1,219.21",AAA
Q201,CLORKILL 45 ML. AGUA DULCE Y SAL.,$6.61,831,BIOMAA,200,$13.22,AAA
Q218,PENTABIOCARE 45 ML.,$10.18,10,BIOMAA,200,$20.36,AAA
Q256,BETTA SAFE 35 ML.(5),$10.63,346,BIOMAA,100,$21.27,AAA
Q202,CLORKILL 125 ML AGUA DULCE Y SAL.,$14.77,33,BIOMAA,30,$29.55,AAA
Q219,PENTABIOCARE 125 ML.,$23.51,59,BIOMAA,30,$47.02,AAA
Q234,CLARIFICADOR TURBIDEL 125 ML.,$25.63,61,BIOMAA,30,$51.27,AAA
Q203,CLORKILL 500 ML. AGUA DULCE Y SAL.,$38.84,34,BIOMAA,15,$77.69,AAA
Q204,CLORKILL 1 L. AGUA DULCE Y SAL.,$64.96,21,BIOMAA,12,$129.92,AAA
Q220,PENTABIOCARE 500 ML,$76.49,22,BIOMAA,15,$152.98,AAA
Q221,PENTABIOCARE 1L. ACOND.,$128.79,12,BIOMAA,12,$257.58,AAA
Q222,PENTABIOCARE 4 LITROS,$416.97,2,BIOMAA,1,$833.94,AA
ANTI,ANTICLORO FERI  30 ML.,$8.83,7,FERI,1,$17.67,AAA
ANTI125,ANTICLORO FERI  125 ML.,$19.29,5,FERI,1,$38.58,AAA
ANTI500,ANTICLORO FERI 500 ML.,$49.83,3,FERI,1,$99.66,AAA
FL11001,ANTICLORO C/VIT.B1 30 ML.,$7.89,262,LOMAS,10,$15.79,AAA
FL1116,CRYSTALIZE 30 ML ACLARADOR,$8.51,40,LOMAS,10,$17.02,AAA
FL1113,NEUTRA STRESS 30 ML.,$9.72,20,LOMAS,10,$19.44,AAA
FL1119,NEUTRA BETA 30 ML.,$9.73,30,LOMAS,10,$19.46,AAA
FL1101M,ANTICLORO 60 ML. C/VIT.B1,$11.54,6,LOMAS,1,$23.08,AAA
