url_original,path_original,status_http,titulo_detectado,tipo_crawl,tipo_plan,url_destino_sugerida,confianza,motivo,prioridad_revision,accion_sugerida,nota
https://artiani.com.mx/producto/Aclarador-de-ojos-para-tortuga/ACLA-30,/producto/Aclarador-de-ojos-para-tortuga/ACLA-30,200,"Producto - Aclarador de ojos para tortuga",producto_legacy,producto,/producto/aclarador-de-ojos-para-tortugas-30-ml-pza-fl1108,media,tokens_compartidos_4,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Acuario-de-coliseo-70-lts-con-mueble-/NANO-08,/producto/Acuario-de-coliseo-70-lts-con-mueble-/NANO-08,200,"Producto - Acuario de coliseo 70 lts con mueble",producto_legacy,producto,/producto/acuario-de-coliseo-70-lts-con-mueble-pza-4063,media,tokens_compartidos_5,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Acuario-imperio-con-mueble-100-Lts-/NANO-09,/producto/Acuario-imperio-con-mueble-100-Lts-/NANO-09,200,"Producto - Acuario imperio con mueble 100 Lts",producto_legacy,producto,/producto/acuario-imperio-100-lts-pza-4064,media,tokens_compartidos_6,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Alimento-betta-bit-frasco/ALI-25B,/producto/Alimento-betta-bit-frasco/ALI-25B,200,"Producto - Alimento betta bit frasco",producto_legacy,producto,/producto/alimento-betta-bit-frasco-pza-q125,media,tokens_compartidos_4,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Alimento-betta-premium-8-gramos-/ALI-8B,/producto/Alimento-betta-premium-8-gramos-/ALI-8B,200,"Producto - Alimento betta premium 8 gramos",producto_legacy,producto,/producto/alimento-betta-premium-8-gramos-pza-wat646,media,tokens_compartidos_4,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Alimento-de-vacaciones-para-peces/ALI-4V,/producto/Alimento-de-vacaciones-para-peces/ALI-4V,200,"Producto - Alimento de vacaciones para peces",producto_legacy,producto,/producto/alimento-de-vacaciones-1-pieza-para-peces-pza-q150,media,tokens_compartidos_4,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Alimento-para-gato-adulto-indoor-nupec-1.5-kg/NUGAIN-01,/producto/Alimento-para-gato-adulto-indoor-nupec-1.5-kg/NUGAIN-01,200,"Producto - Alimento para gato adulto indoor nupec 1.5 kg",producto_legacy,producto,/producto/alimento-croqueta-para-gato-adulto-indoor-nupec-1-5-kg-pza-nuec-fenoaduor1500g,media,tokens_compartidos_6,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Alimento-para-gato-adulto-indoor-nupec-3kg/NUPI-01,/producto/Alimento-para-gato-adulto-indoor-nupec-3kg/NUPI-01,200,"Producto - Alimento para gato adulto indoor nupec 3kg",producto_legacy,producto,/producto/alimento-croqueta-para-gato-adulto-indoor-nupec-1-5-kg-pza-nuec-fenoaduor1500g,media,tokens_compartidos_6,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Alimento-para-gato-kitten-nupec-3kg/KINU-01,/producto/Alimento-para-gato-kitten-nupec-3kg/KINU-01,200,"Producto - Alimento para gato kitten nupec 3kg",producto_legacy,producto,/producto/alimento-croqueta-para-gato-kitten-nupec-1-5-kg-pza-nuec-fenokien1500g,media,tokens_compartidos_5,alta,aprobar_301_candidato,requiere_revision_destino
https://artiani.com.mx/producto/Alimento-para-huron-fortificada-/ALIU-02,/producto/Alimento-para-huron-fortificada-/ALIU-02,200,"Producto - Alimento para huron fortificada",producto_legacy,producto,/producto/alimento-huron-ferret-diet-1-kg-pza-wat572,media,tokens_compartidos_4,alta,aprobar_301_candidato,requiere_revision_destino
